ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
2cc21fdfd16f79cc687d199ff74b532f,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,unclassified
25b11a4da1b5b3d840471640059ed4e7,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,unclassified
6bb768347efa22a4b0c3f0c9e8c7dd91,Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,unclassified
ab109b41766b755af9aa556499039162,Fungi,Ascomycota,Sordariomycetes,Conioscyphales,Conioscyphaceae,Conioscypha,unclassified
d428392d2b1014d7ecd2a521ddf0c50a,Fungi,Ascomycota,Sordariomycetes,Xylariales,Coniocessiaceae,Coniocessia,unclassified
70e2ddadaaae2e51dc75c3a7cb3b0d70,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,unclassified
c2de60e7f00d604341d11742f8d48d04,Fungi,Ascomycota,Sordariomycetes,Conioscyphales,Conioscyphaceae,Conioscypha,unclassified
79ce3945a64c3805b46dc3907e247e64,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,unclassified
b354aa591460f76111611b7a16af01d4,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Achroiostachys,unclassified
de61c8ec863fcd88218471ed186f6e06,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,unclassified
8474cbb761c7abcf71ef12353e61e957,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,unclassified
29fa1e08346f7052f913140665b9a683,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,unclassified
eaf53601199232e43fee831c58b9816f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,unclassified
0295097a99ff182f719b221bb51cc414,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified
1efc13c599c90034e97f7ee0286daaa6,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,unclassified
42eb484e0b2ead8c755b00ad6302c073,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified
f86fc87a12d48f56fa8d2192b987f780,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified
ef31a6a5211d88490a713d628db6be8f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,unclassified
edfbf8380fc32310708fdc58bffb09fd,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified
