"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"46","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_a7b313d891107fbee374ecc6ded2a6db",5,20,53,0,59,78,41,9,23,69,50,18,12,32,19,33,17,9,12,0,19,0,8,45,3,29,30,16,23,24,9,14,34,10,50,0,19,6,8,42,11,18,53,20,113,7,18,14,20,296,164,17,27,15,9,7,8,18
"47","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_fujikuroi_9823d03cf21ee6bea8cd5345c3abda63",0,44,24,0,59,0,66,0,0,0,0,17,24,13,0,18,45,0,27,0,77,13,23,16,0,0,0,0,0,0,50,0,0,0,75,60,0,0,70,0,33,57,418,17,0,36,45,0,8,0,0,14,0,0,0,41,0,25
"48","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_dc7382b8baeb332732be90d53df52c6e",0,6,12,5,5,10,3,0,3,40,6,10,0,0,19,2,235,9,10,47,0,21,2,8,998,44,0,218,21,14,13,2,0,10,9,30,3,7,0,112,31,0,0,11,2,41,52,0,0,4,13,8,49,0,10,27,3,8
"49","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a9f2968ee14309e36e2d708d0aa22fcb",3,0,0,0,0,184,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,2,0,0,0,69,0,1,0,0,0,0,0,77,17,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,0,3,0,0,68,0,67,0
"50","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Scedosporium_Scedosporium_boydii_4c1409f3ec03f348b9565da49f9b01cb",22,0,54,0,0,15,0,0,0,8,0,0,0,0,0,6,29,0,1,112,6,0,10,7,682,4,0,242,0,22,0,4,4,0,0,24,0,7,0,0,0,0,0,0,0,0,47,0,6,0,9,0,0,1,0,0,16,0
"51","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_sp_4fe643f045608e94db26815d9b65422e",38,0,0,0,40,0,55,0,0,46,65,38,161,0,72,0,44,31,33,0,0,0,0,0,0,0,0,125,0,131,0,51,19,39,23,0,0,0,15,0,0,67,27,0,0,0,137,59,25,0,0,0,0,69,42,48,0,0
"52","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_7e870910d95b7f139562f3358ce36d18",0,141,0,274,0,0,0,0,0,0,0,0,0,76,0,535,122,53,59,0,54,0,0,0,0,25,0,0,0,0,24,0,0,0,79,60,0,0,398,0,56,686,33,0,0,0,122,0,0,0,0,0,0,0,0,75,0,44
"53","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Enterocarpus_Enterocarpus_grenotii_ba09c722d6bf2c97d098f0d3db863f4c",4,7,65,8,22,14,30,13,14,28,26,7,8,15,15,5,7,9,28,17,2,13,4,23,6,19,18,10,21,9,8,15,26,21,12,11,9,23,12,8,21,0,8,44,13,5,10,64,21,38,20,11,12,15,26,14,7,19
"54","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_4ba25a2778488728fb114b8f15ae8924",17,0,61,0,15,43,15,33,52,17,30,14,0,23,20,19,20,9,31,31,17,31,14,42,16,21,0,32,14,15,8,27,31,24,0,0,22,0,0,0,18,0,13,33,25,17,0,19,12,17,215,23,16,124,0,11,18,14
"55","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_dc0dc02f5ef43ca3847a8f849a496016",0,110,0,0,6,1,42,0,0,0,0,39,0,0,0,15,0,0,0,0,0,6,9,4,9,0,7,10,0,0,0,0,0,1,0,92,0,0,4,0,0,158,0,129,3,3,1,1,1,0,23,0,2,3,0,96,14,0
