"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"75","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_6effc8850eab0213f05d414db4cdd367",49,62,51,41,61,51,67,44,66,73,84,92,99,60,57,70,59,98,77,77,39,101,96,42
"76","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_e1447147381f04271db2d9dad81e4e8b",60,52,27,81,72,63,55,49,86,61,76,40,54,77,46,31,90,74,94,96,44,104,56,45
"77","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Balneimonas_unclassified_cf6ffedaff8fc0e8dd1eabb619b35964",64,132,86,82,77,66,63,171,79,190,85,126,76,56,99,59,68,87,56,69,76,0,58,95
"78","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_unclassified_8f7351b88293451571e8fdb902c26462",57,29,62,55,41,70,43,67,73,45,71,100,39,35,27,31,24,150,79,33,30,48,37,32
"79","Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_ce943af284cfba3199378752da2d0c9d",52,68,61,43,72,62,66,67,58,67,43,53,54,50,37,70,46,45,51,52,66,74,41,62
"80","Bacteria_Nitrospirae_Nitrospira_Nitrospirales_0319-6A21_unclassified_unclassified_7158b5b009219b1fc3e89f0faeedd765",70,58,53,58,73,66,37,30,46,57,54,52,58,63,43,36,58,47,59,41,58,88,115,30
"81","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_unclassified_unclassified_unclassified_12617f123ff3d361edc2e96e1c636403",66,64,50,59,64,60,65,35,72,155,34,73,65,59,35,78,110,50,40,47,63,66,145,57
"82","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_0bd0dd1f9bd5e9803ddd954a3f20f9b8",96,33,71,68,88,45,49,42,51,61,39,56,31,25,29,48,73,64,41,80,43,49,59,64
"83","Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Nitrosomonadaceae_Nitrosovibrio_tenuis_95191e9b05c9c85dad75ba3ac51142c7",81,36,69,65,39,92,43,73,53,75,80,66,67,50,39,32,74,113,67,52,39,58,43,50
"84","Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_Solirubrobacter_unclassified_4807e7d5ba96669a68d4c064e32816cc",53,48,46,47,52,56,49,76,78,0,68,47,57,35,41,60,38,59,62,56,48,76,49,55
"85","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_c9b182bfcf8794bbf31eb717ec80215e",45,44,38,53,38,75,49,45,62,40,67,49,70,66,50,56,55,62,80,72,73,99,57,37
"86","Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_unclassified_unclassified_6079a82735175e49e9229a37d931d9a1",67,50,69,91,69,72,57,100,93,111,77,97,101,56,37,69,71,58,47,98,59,66,70,64
"87","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_unclassified_unclassified_192fc0ee1e848581b13c1678a456b792",71,61,48,62,52,53,140,67,51,73,34,47,75,56,44,37,115,74,90,80,48,80,71,30
"88","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_6eac50f6e24e6cfa543b8f0c9779fe85",33,22,67,53,44,66,45,32,36,65,39,40,42,39,39,67,47,44,45,57,63,0,57,28
"89","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_690860d17f66dbbadd695c1a458bbda0",53,38,48,60,61,52,50,30,72,64,65,66,63,44,33,58,64,55,53,65,56,95,50,60
"90","Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacteraceae_unclassified_unclassified_cd08c93bf94181773b29976b4a605ef3",100,31,129,113,45,60,36,71,60,143,68,77,71,46,23,37,33,107,20,69,35,39,89,90
"91","Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_Gaiellaceae_unclassified_unclassified_d4ace7cd52ceb5b9b3522a1d9c258546",72,47,67,45,117,49,54,52,43,56,44,60,30,21,61,51,24,44,29,39,59,70,40,47
"92","Bacteria_Actinobacteria_MB-A2-108_0319-7L14_unclassified_unclassified_unclassified_e0277f1cd890fa1a8142761c7a37c763",52,53,62,37,59,26,52,24,20,23,18,28,26,27,46,35,15,25,27,53,62,93,32,56
"93","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_28608f119385563a4d37b2a91ebb5dcc",42,45,51,49,62,56,63,18,20,49,49,39,39,36,23,72,40,32,35,57,41,87,51,31
"94","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_unclassified_45e4be8e16753ffd4bb4872bf6a35f37",43,65,35,44,55,48,45,68,63,103,80,51,28,43,71,20,62,41,44,54,40,98,43,46
"95","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_Nonomuraea_unclassified_7df01684675f00936e723950ba66e742",28,37,30,32,0,34,0,26,45,0,63,53,30,93,54,39,54,82,126,43,37,0,0,45
"96","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Pseudonocardia_unclassified_f8221ed9acb45ca394c490f4469c2fb5",52,60,68,47,72,56,51,44,54,44,57,32,52,59,35,64,33,64,74,43,56,56,60,87
"97","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Hyphomicrobium_unclassified_16925ce4059a8537532e31151fa382b7",26,55,64,44,71,50,93,24,35,37,48,36,46,31,19,50,52,28,21,52,45,68,41,60
"98","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_6aaf223f32888773345ba6e476001736",51,53,66,31,64,55,52,27,64,66,94,53,27,31,49,58,32,87,47,50,66,59,26,29
"99","Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_unclassified_unclassified_50cf152fd85f442c1c39520c073c0644",31,21,36,36,31,28,68,23,28,53,24,44,35,14,28,21,29,31,23,40,35,47,39,37
"100","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_unclassified_unclassified_aaf117ec26cb1006d4d9fee7d51ee770",60,76,60,35,52,47,25,39,60,52,59,61,41,33,26,64,24,38,20,29,53,42,13,65
"101","Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacteraceae_unclassified_unclassified_c4780ad82765d243dbc9c2df943cb884",48,75,64,29,43,54,120,29,53,78,39,52,35,32,50,51,14,27,38,40,65,80,101,30
"102","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Rubellimicrobium_unclassified_2f6e11db2cd65e88a3bbb0a667c2a1e9",62,47,102,47,45,63,75,68,76,75,60,79,51,39,53,131,20,63,41,30,95,83,45,72
"103","Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_unclassified_unclassified_ff797e4983963f4cb563607a7bca230d",30,45,53,61,0,48,51,45,42,69,49,67,49,54,18,47,79,13,64,58,57,78,100,71
