FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
3a98163ea97d2091445f57954dd204f2,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
e0400d17da1d6c64df232f6087e826e2,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
6ed3f1b22324876f78c683ecb1874c42,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
2f214eb52c7021128fd26b9ec0b045cc,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
0dc92885f683519e5373d59a702fb5a4,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
0573310b66200a5d8070a70175d20028,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
41c05265d4a59e25b034dc8e3970fbf7,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
9890ff651a31f8984ef45aea119c4788,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
2b2bcb41fa71b311a5d41e1e81456ba8,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
07708581390169f1b911c2eb5b757227,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
ec396400adf3e26eafc3379a57378778,Bacteria,Bacteroidetes,[Rhodothermi],[Rhodothermales],Rhodothermaceae,unclassified,unclassified
de2358461597d4637015b9bf6469e7a5,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
41192a47957e45dee9939a201fc492f2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
107d767d21388f6cba569ced132656b2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
6635e9cba14ba0c18572e7bc5b497c75,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
8e65edadaf6f5cbb372d95291484dc05,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
d79935f42b3d4b591b7921fbd58ff311,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
c660db64308cd4aeeccfd0f1444c34f3,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
f379334a12ea540703077f076257e171,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
af4ffc0a51412c5d5fc629a981aa6ce3,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
1b3751429eb7a38aae3f89cde2709621,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
0083348fbd9989b0a0c5a3143ce8ef0a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
58b0bd7698fdf984f49b7a37b79b81d6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
19c48ffbe249010aa965f87ab8829a8d,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
f32b6da5e314c23a074ddaf89893812e,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
a78cffd77135edd55877b33946784ff7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
